key,timestamp,bt,user agent,user id,image path,bodypart
control,2022.4.1_19.55.49_666,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_712,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_748,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_774,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_806,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_838,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_869,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_899,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_932,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
control,2022.4.1_19.55.49_961,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
,2022.4.1_19.57.2_444,save,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.75 Safari/537.36",2022.4.1_19.55.45_778,1/2022.4.1_19.55.45_778___2022.4.1_19.57.2_490.png,1
,2022.4.2_17.8.23_661,save,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.79 Safari/537.36",2022.4.2_17.7.43_296,2/2022.4.2_17.7.43_296___2022.4.2_17.8.23_699.png,2
,2022.4.2_17.8.6_556,erase,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.79 Safari/537.36",2022.4.2_17.7.43_296,2/2022.4.2_17.7.43_296___2022.4.2_17.8.23_699.png,2
delete,2022.4.6_18.0.44_253,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,2/2022.4.6_18.0.23_65___2022.4.6_18.4.55_252.png,2
,2022.4.6_18.1.43_485,erase,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,2/2022.4.6_18.0.23_65___2022.4.6_18.4.55_252.png,2
,2022.4.6_18.1.45_920,greenyellow,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,2/2022.4.6_18.0.23_65___2022.4.6_18.4.55_252.png,2
,2022.4.6_18.1.51_636,erase,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,2/2022.4.6_18.0.23_65___2022.4.6_18.4.55_252.png,2
,2022.4.6_18.1.55_669,erase,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,2/2022.4.6_18.0.23_65___2022.4.6_18.4.55_252.png,2
e,2022.4.6_18.10.0_134,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_164,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
e,2022.4.6_18.10.0_194,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 OPR/85.0.4341.75 (Edition Yx 08)",2022.4.6_18.0.23_65,0/2022.4.6_18.0.23_65___2022.4.6_18.12.9_772.png,0
